dataset,n,algorithm,avg_time_us,min_time_us,median_time_us,char_comparisons,char_inspections,runs
common_prefix,1100,MSD_RADIX_SORT_WITH_STRING_QS,1082.833,1047.354,1075.380,3461,160436,11
common_prefix,1200,QUICKSORT,2917.895,2901.018,2912.680,1012177,2024354,11
common_prefix,1200,MERGESORT,2235.087,2220.043,2234.414,770068,1540136,11
common_prefix,1200,STRING_QUICKSORT,309.756,298.142,305.064,96812,97797,11
common_prefix,1200,STRING_MERGESORT_LCP,436.260,419.928,431.246,93636,187272,11
common_prefix,1200,MSD_RADIX_SORT,1788.732,1184.396,1532.933,0,173290,11
common_prefix,1200,MSD_RADIX_SORT_WITH_STRING_QS,1884.318,1346.795,1859.971,3855,175088,11
common_prefix,1300,QUICKSORT,5209.238,2979.989,4696.106,1032583,2065166,11
common_prefix,1300,MERGESORT,3494.505,2445.089,2988.460,844037,1688074,11
common_prefix,1300,STRING_QUICKSORT,396.238,321.165,394.521,104857,105914,11
common_prefix,1300,STRING_MERGESORT_LCP,812.967,528.776,642.596,101616,203232,11
common_prefix,1300,MSD_RADIX_SORT,3788.983,2991.634,3931.302,0,187766,11
common_prefix,1300,MSD_RADIX_SORT_WITH_STRING_QS,1865.825,1277.211,1678.377,4466,189991,11
common_prefix,1400,QUICKSORT,3511.429,3496.861,3505.905,1222282,2444564,11
common_prefix,1400,MERGESORT,2671.586,2654.626,2662.769,921325,1842650,11
common_prefix,1400,STRING_QUICKSORT,364.172,354.655,363.059,112121,113250,11
common_prefix,1400,STRING_MERGESORT_LCP,515.982,502.513,509.355,109561,219122,11
common_prefix,1400,MSD_RADIX_SORT,1352.053,1339.509,1351.198,0,202238,11
common_prefix,1400,MSD_RADIX_SORT_WITH_STRING_QS,1340.713,1304.610,1322.485,4968,204766,11
common_prefix,1500,QUICKSORT,3736.139,3714.536,3735.473,1298181,2596362,11
common_prefix,1500,MERGESORT,2891.232,2878.004,2883.253,998957,1997914,11
common_prefix,1500,STRING_QUICKSORT,396.526,387.757,394.112,121972,123189,11
common_prefix,1500,STRING_MERGESORT_LCP,555.142,543.740,550.577,117593,235186,11
common_prefix,1500,MSD_RADIX_SORT,1491.890,1427.071,1468.837,0,216754,11
common_prefix,1500,MSD_RADIX_SORT_WITH_STRING_QS,1499.536,1471.489,1503.433,5368,219444,11
common_prefix,1600,QUICKSORT,3648.188,3634.509,3639.874,1266921,2533842,11
common_prefix,1600,MERGESORT,3110.811,3096.921,3103.215,1073482,2146964,11
common_prefix,1600,STRING_QUICKSORT,438.815,416.297,418.639,128049,129330,11
common_prefix,1600,STRING_MERGESORT_LCP,607.867,588.762,604.339,125458,250916,11
common_prefix,1600,MSD_RADIX_SORT,1642.131,1579.490,1604.848,0,231260,11
common_prefix,1600,MSD_RADIX_SORT_WITH_STRING_QS,1628.155,1609.748,1620.563,6007,234369,11
common_prefix,1700,QUICKSORT,4469.358,4451.373,4462.998,1550806,3101612,11
common_prefix,1700,MERGESORT,3339.894,3326.443,3335.304,1153055,2306110,11
common_prefix,1700,STRING_QUICKSORT,455.479,445.401,450.299,138021,139421,11
common_prefix,1700,STRING_MERGESORT_LCP,648.122,631.728,642.040,133511,267022,11
common_prefix,1700,MSD_RADIX_SORT,1693.306,1674.527,1683.445,0,245758,11
common_prefix,1700,MSD_RADIX_SORT_WITH_STRING_QS,1717.746,1696.890,1712.146,6383,249016,11
common_prefix,1800,QUICKSORT,4078.744,4063.747,4083.581,1416690,2833380,11
common_prefix,1800,MERGESORT,3566.237,3544.538,3562.143,1230590,2461180,11
common_prefix,1800,STRING_QUICKSORT,485.447,472.064,479.355,145996,147441,11
common_prefix,1800,STRING_MERGESORT_LCP,689.509,668.995,685.922,141486,282972,11
common_prefix,1800,MSD_RADIX_SORT,1810.417,1724.250,1747.987,0,260228,11
common_prefix,1800,MSD_RADIX_SORT_WITH_STRING_QS,1757.575,1733.357,1746.925,6814,263723,11
common_prefix,1900,QUICKSORT,5041.440,5026.699,5039.157,1754996,3509992,11
common_prefix,1900,MERGESORT,3792.206,3775.616,3780.609,1308960,2617920,11
common_prefix,1900,STRING_QUICKSORT,515.646,499.938,509.764,153743,155277,11
common_prefix,1900,STRING_MERGESORT_LCP,729.173,710.588,726.074,149431,298862,11
common_prefix,1900,MSD_RADIX_SORT,1888.284,1805.157,1870.699,0,274728,11
common_prefix,1900,MSD_RADIX_SORT_WITH_STRING_QS,1861.596,1822.608,1841.766,7261,278450,11
common_prefix,2000,QUICKSORT,4900.470,4876.360,4900.741,1702200,3404400,11
common_prefix,2000,MERGESORT,4049.221,3997.365,4027.104,1384834,2769668,11
common_prefix,2000,STRING_QUICKSORT,540.138,526.155,534.869,161017,162620,11
common_prefix,2000,STRING_MERGESORT_LCP,777.682,757.534,768.311,157361,314722,11
common_prefix,2000,MSD_RADIX_SORT,2011.574,1947.313,1971.347,0,289250,11
common_prefix,2000,MSD_RADIX_SORT_WITH_STRING_QS,2095.375,2015.398,2051.378,7992,293445,11
common_prefix,2100,QUICKSORT,5208.619,5191.127,5205.824,1812772,3625544,11
common_prefix,2100,MERGESORT,4257.089,4235.780,4248.022,1468476,2936952,11
common_prefix,2100,STRING_QUICKSORT,574.635,559.270,565.667,168530,170238,11
common_prefix,2100,STRING_MERGESORT_LCP,819.267,797.730,812.137,165493,330986,11
common_prefix,2100,MSD_RADIX_SORT,2064.804,2046.536,2063.494,0,303790,11
common_prefix,2100,MSD_RADIX_SORT_WITH_STRING_QS,2127.778,2085.924,2131.886,8616,308365,11
